http://placement.iitk.ac.in/pas/student/company_profiles/523?v=1476444877, Capital Dynamics Sdn Bhd,
http://placement.iitk.ac.in/pas/student/company_profiles/514?v=1475768839, Auctus Advisors,
http://placement.iitk.ac.in/pas/student/company_profiles/513?v=1475693510, Loylty Rewardz Mngt Pvt Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/512?v=1475584831, Goldman Sachs,
http://placement.iitk.ac.in/pas/student/company_profiles/508?v=1475317320, Walmart Labs,
http://placement.iitk.ac.in/pas/student/company_profiles/509?v=1475316737, Crowdfire,
http://placement.iitk.ac.in/pas/student/company_profiles/504?v=1475159114, AXA Business Services,
http://placement.iitk.ac.in/pas/student/company_profiles/500?v=1475053450, Opera Solutions India Pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/501?v=1475053317, PwC DIAC,
http://placement.iitk.ac.in/pas/student/company_profiles/499?v=1474960945, Works Applications Co Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/498?v=1474711210, Directi,
http://placement.iitk.ac.in/pas/student/company_profiles/496?v=1474636233, Schlumberger Asia Services Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/494?v=1474571597, Fuzzy Logix,
http://placement.iitk.ac.in/pas/student/company_profiles/491?v=1474460357, Wrig Nanosystems Pvt. Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/482?v=1472892819, EXL Services,
http://placement.iitk.ac.in/pas/student/company_profiles/821?v=1480945883, Hindustan Petroleum Corporation Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/818?v=1480934962, KEC International Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/814?v=1480925167, Optym India Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/812?v=1480923168, Zuti Engineering Solutions Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/811?v=1480922787, Oxigen Online Services India Pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/810?v=1480922255, Buyhatke,
http://placement.iitk.ac.in/pas/student/company_profiles/743?v=1480860625, Airbus,
http://placement.iitk.ac.in/pas/student/company_profiles/805?v=1480774265, AFCONS INFRASTRUCTURE LTD,
http://placement.iitk.ac.in/pas/student/company_profiles/802?v=1480768809, IBM India Pvt Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/798?v=1480744429, Mphasis NextLab,
http://placement.iitk.ac.in/pas/student/company_profiles/797?v=1480676274, TATA Communications Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/796?v=1480649024, Tejas Networks,
http://placement.iitk.ac.in/pas/student/company_profiles/732?v=1480512132, SAP Labs, India Pvt Ltd
http://placement.iitk.ac.in/pas/student/company_profiles/795?v=1480493840, Sahajanand Medical Technologies Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/794?v=1480435339, Cityflo,
http://placement.iitk.ac.in/pas/student/company_profiles/793?v=1480433757, Northern Trust,
http://placement.iitk.ac.in/pas/student/company_profiles/792?v=1480426197, John Deere India Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/790?v=1480412336, Sirionlabs Pvt Ltd,
